flores_codes,resource_level,average_chosen_scores,average_rejected_scores
ssw_Latn,low,2.770186335403727,2.0328542094455853
tso_Latn,low,3.1252566735112937,2.5256673511293632
nso_Latn,low,3.3189300411522633,2.4917695473251027
wol_Latn,low,3.1502057613168724,2.397119341563786
lug_Latn,low,3.078028747433265,2.328542094455852
tsn_Latn,low,3.156378600823045,2.3621399176954734
lin_Latn,low,3.197530864197531,2.3670103092783505
nya_Latn,low,3.1296296296296298,2.279835390946502
ibo_Latn,low,3.2098765432098766,2.5557851239669422
sna_Latn,low,3.2792607802874745,2.3950617283950617
sot_Latn,low,3.1642710472279263,2.3613963039014374
tir_Ethi,low,3.1443298969072164,2.874485596707819
grn_Latn,low,3.3353909465020575,2.5503080082135523
yor_Latn,low,3.2222222222222223,2.5246913580246915
sun_Latn,low,3.273100616016427,1.9630390143737166
mri_Latn,low,3.374485596707819,2.3189300411522633
snd_Arab,low,3.1175257731958763,2.320328542094456
xho_Latn,low,3.2577319587628866,2.4209445585215605
zul_Latn,low,3.1642710472279263,2.3141683778234086
bod_Tibt,low,2.958592132505176,2.408333333333333
asm_Beng,low,3.2577319587628866,2.1101871101871104
hat_Latn,low,3.2895277207392195,1.8747433264887063
kin_Latn,low,3.302469135802469,2.4814814814814814
jav_Latn,low,3.2962962962962963,1.874485596707819
hau_Latn,low,3.328542094455852,2.5205761316872426
ceb_Latn,low,3.4928131416837784,1.7633744855967077
war_Latn,low,3.371663244353183,1.6103092783505155
amh_Ethi,low,3.2952182952182953,2.897119341563786
lao_Laoo,low,3.1069958847736627,2.670103092783505
mlt_Latn,low,3.4917695473251027,2.051440329218107
som_Latn,low,3.137577002053388,2.430927835051546
tgk_Cyrl,low,3.236625514403292,2.3271221532091095
pan_Guru,low,3.3921971252566734,2.3388429752066116
kir_Cyrl,low,3.2020618556701033,1.9876543209876543
sin_Sinh,low,3.366255144032922,2.7024793388429753
tgl_Latn,low,3.6878850102669403,1.6673553719008265
khm_Khmr,low,3.352577319587629,2.3917525773195876
guj_Gujr,low,3.4897119341563787,2.1440329218106995
afr_Latn,low,3.6119096509240247,1.5390946502057614
kan_Knda,low,3.549382716049383,2.0989690721649485
mya_Mymr,low,3.288659793814433,2.4958847736625516
tel_Telu,low,3.4556701030927837,2.1842650103519667
mar_Deva,low,3.4742268041237114,1.9398340248962656
mal_Mlym,low,3.419753086419753,2.3106995884773665
kaz_Cyrl,low,3.293634496919918,1.9794238683127572
urd_Arab,low,3.4917695473251027,1.8281573498964803
mkd_Cyrl,low,3.6570841889117043,1.6193415637860082
eus_Latn,low,3.308641975308642,1.9690721649484537
hye_Armn,low,3.3963039014373715,2.1154639175257732
isl_Latn,low,3.4763860369609856,1.731006160164271
kat_Geor,low,3.421810699588477,2.0804123711340208
tam_Taml,low,3.488659793814433,2.2028985507246377
ben_Beng,low,3.517453798767967,1.7240663900414939
hin_Deva,medium,3.516460905349794,1.5527950310559007
est_Latn,medium,3.4804928131416837,1.677618069815195
slv_Latn,medium,3.6934156378600824,1.4082474226804125
lit_Latn,medium,3.593429158110883,1.8665297741273101
hrv_Latn,medium,3.7453798767967146,1.3677685950413223
srp_Cyrl,medium,3.751540041067762,1.453416149068323
heb_Hebr,medium,3.537987679671458,1.8909465020576133
cat_Latn,medium,3.650924024640657,1.3353909465020577
bul_Cyrl,medium,3.6893004115226335,1.3835051546391752
slk_Latn,medium,3.6858316221765914,1.5061728395061729
tha_Thai,medium,3.4156378600823047,1.6111111111111112
fin_Latn,medium,3.728952772073922,1.6494845360824741
ukr_Cyrl,medium,3.691511387163561,1.3850931677018634
dan_Latn,medium,3.703092783505155,1.4074074074074074
ell_Grek,medium,3.7154639175257733,1.6494845360824741
hun_Latn,medium,3.708418891170431,1.3801652892561984
ron_Latn,medium,3.588477366255144,1.2975206611570247
kor_Hang,medium,3.6344969199178645,1.3634496919917864
swe_Latn,medium,3.735112936344969,1.37782340862423
ind_Latn,medium,3.520661157024793,1.2762886597938143
vie_Latn,medium,3.542094455852156,1.487603305785124
tur_Latn,medium,3.6427104722792607,1.51440329218107
ces_Latn,high,3.728952772073922,1.4082474226804125
pol_Latn,high,3.720164609053498,1.429158110882957
nld_Latn,high,3.7720739219712525,1.2780082987551866
por_Latn,high,3.6954732510288064,1.3623188405797102
ita_Latn,high,3.7741273100616017,1.3016528925619835
spa_Latn,high,3.753086419753086,1.2921810699588476
fra_Latn,high,3.7412731006160165,1.3353909465020577
jpn_Jpan,high,3.662551440329218,1.4698544698544698
deu_Latn,high,3.7242798353909463,1.2329896907216495
zho_Hans,high,3.588477366255144,1.3479166666666667
rus_Cyrl,high,3.7412731006160165,1.3278008298755186
eng_Latn,high,3.7782340862423,1.1851851851851851
