flores_codes,resource_level,average_chosen_scores,average_rejected_scores
ssw_Latn,low,-12.441875,-16.61625
tso_Latn,low,-6.6136328125,-13.35625
nso_Latn,low,-7.75234375,-15.695
wol_Latn,low,-7.874296875,-13.314375
lug_Latn,low,-8.99328125,-15.38875
tsn_Latn,low,-9.939375,-15.226875
lin_Latn,low,-9.64703125,-15.26375
nya_Latn,low,-8.60375,-14.423125
ibo_Latn,low,-10.6084375,-17.21
sna_Latn,low,-7.82765625,-15.068125
sot_Latn,low,-9.5978125,-15.756875
tir_Ethi,low,-1.5318212890625,-4.10015625
grn_Latn,low,-4.820703125,-14.82
yor_Latn,low,-9.81625,-15.32875
sun_Latn,low,-7.7058203125,-19.85125
mri_Latn,low,-8.42955078125,-16.265
snd_Arab,low,-5.1425,-15.286875
xho_Latn,low,-9.80640625,-16.260625
zul_Latn,low,-10.02484375,-16.66875
bod_Tibt,low,-3.890155029296875,-9.5101171875
asm_Beng,low,-3.774404296875,-15.15125
hat_Latn,low,-6.63578125,-17.840625
kin_Latn,low,-9.24578125,-15.82625
jav_Latn,low,-7.053359375,-19.68125
hau_Latn,low,-10.878125,-17.47
ceb_Latn,low,-4.59708984375,-18.8425
war_Latn,low,-5.832138671875,-18.5625
amh_Ethi,low,-0.92224609375,-6.8896875
lao_Laoo,low,-3.4323828125,-9.19609375
mlt_Latn,low,-4.6475,-17.5625
som_Latn,low,-7.74046875,-14.888125
tgk_Cyrl,low,-4.662578125,-17.58125
pan_Guru,low,-1.9009983825683594,-16.15
kir_Cyrl,low,-3.7887158203125,-17.17875
sin_Sinh,low,-0.44361328125,-13.239375
tgl_Latn,low,-3.3324609375,-18.176875
khm_Khmr,low,-2.167462158203125,-14.2275
guj_Gujr,low,-2.61861328125,-16.07625
afr_Latn,low,-2.943681640625,-19.885
kan_Knda,low,-2.58521484375,-16.07125
mya_Mymr,low,-3.0191162109375,-14.38125
tel_Telu,low,-4.8062890625,-17.5725
mar_Deva,low,-1.8932373046875,-18.0325
mal_Mlym,low,-1.75943359375,-16.296875
kaz_Cyrl,low,-2.609423828125,-16.7325
urd_Arab,low,-0.9289599609375,-15.8625
mkd_Cyrl,low,-0.584119873046875,-20.155
eus_Latn,low,-4.6280078125,-19.60375
hye_Armn,low,-1.20775390625,-17.075
isl_Latn,low,-6.2462744140625,-19.89125
kat_Geor,low,-1.99037109375,-17.095
tam_Taml,low,-1.4814453125,-15.995
ben_Beng,low,-1.282353515625,-16.96875
hin_Deva,medium,-3.6599658203125,-19.2325
est_Latn,medium,-4.165,-20.01875
slv_Latn,medium,-3.6760546875,-20.4175
lit_Latn,medium,-3.5331396484375,-20.6675
hrv_Latn,medium,-3.4769140625,-21.484375
srp_Cyrl,medium,-1.6626953125,-20.45
heb_Hebr,medium,-1.91658203125,-18.98125
cat_Latn,medium,-1.8585498046875,-22.2175
bul_Cyrl,medium,-1.037138671875,-19.0825
slk_Latn,medium,-3.4718505859375,-21.19125
tha_Thai,medium,-3.23958984375,-20.19375
fin_Latn,medium,-3.0621142578125,-20.78
ukr_Cyrl,medium,-3.0613037109375,-21.52375
dan_Latn,medium,-3.839580078125,-22.20375
ell_Grek,medium,-2.24990234375,-19.748125
hun_Latn,medium,-3.19830078125,-21.27
ron_Latn,medium,-3.0123046875,-21.42125
kor_Hang,medium,-1.00248046875,-22.19375
swe_Latn,medium,-2.853603515625,-22.0225
ind_Latn,medium,-4.627119140625,-23.19
vie_Latn,medium,-3.14267578125,-20.92375
tur_Latn,medium,-2.8062890625,-21.1325
ces_Latn,high,-3.4785302734375,-21.635
pol_Latn,high,-3.294453125,-22.6175
nld_Latn,high,-1.4558203125,-22.65125
por_Latn,high,-3.149970703125,-23.34875
ita_Latn,high,-2.56,-23.45
spa_Latn,high,-2.559375,-23.735
fra_Latn,high,-2.6628125,-23.2775
jpn_Jpan,high,-0.27837890625,-21.37125
deu_Latn,high,-2.64375,-22.545
zho_Hans,high,-3.8573828125,-23.3375
rus_Cyrl,high,-1.71125,-22.8725
eng_Latn,high,-0.16322265625,-24.695
